dxy_type,entry_time,exit_time,dxy_outcome,pair,direction,entry,exit_px,sl_pts_dxy,outcome,r_actual,gap_pts_at_lon,wave_ext_pts
ATTR_SHORT,2023-10-23 10:30:00+00:00,2023-10-23 11:00:00+00:00,win,EURUSD,long,1.05995,1.0608,290,win,2.931,640.0,0.0
ATTR_LONG,2024-04-17 12:00:00+00:00,2024-04-17 17:30:00+00:00,loss,EURUSD,short,1.06398,1.06623,1740,loss,-1.293,1080.0,200.0
ATTR_SHORT,2024-05-07 08:45:00+00:00,2024-05-07 13:00:00+00:00,win,EURUSD,long,1.07637,1.07765,1350,win,0.948,290.0,490.0
ATTR_SHORT,2024-05-08 10:15:00+00:00,2024-05-08 12:00:00+00:00,loss,EURUSD,long,1.07523,1.07423,1120,loss,-0.893,1290.0,0.0
ATTR_LONG,2024-05-21 12:00:00+00:00,2024-05-21 12:30:00+00:00,win,EURUSD,short,1.08633,1.08556,580,win,1.328,660.0,0.0
ATTR_SHORT,2024-07-23 08:15:00+00:00,2024-07-23 08:30:00+00:00,win,EURUSD,long,1.08755,1.08812,320,win,1.781,450.0,0.0
ATTR_LONG,2024-09-13 10:45:00+00:00,2024-09-16 03:45:00+00:00,loss,EURUSD,short,1.10904,1.1104,2100,loss,-0.648,1430.0,310.0
ATTR_SHORT,2024-10-16 11:30:00+00:00,2024-10-16 11:45:00+00:00,win,EURUSD,long,1.08914,1.0894,500,win,0.52,1110.0,0.0
ATTR_SHORT,2024-10-25 10:00:00+00:00,2024-10-25 10:15:00+00:00,loss,EURUSD,long,1.08271,1.08253,160,loss,-1.125,110.0,0.0
ATTR_SHORT,2025-01-27 08:00:00+00:00,2025-01-27 08:15:00+00:00,win,EURUSD,long,1.04713,1.04726,360,win,0.361,1230.0,0.0
ATTR_LONG,2025-02-17 07:15:00+00:00,2025-02-17 07:45:00+00:00,win,EURUSD,short,1.04878,1.04822,680,win,0.824,660.0,0.0
ATTR_SHORT,2025-03-25 08:30:00+00:00,2025-03-25 09:15:00+00:00,win,EURUSD,long,1.07881,1.07976,690,win,1.377,890.0,0.0
ATTR_SHORT,2025-04-25 07:30:00+00:00,2025-04-28 06:45:00+00:00,loss,EURUSD,long,1.13656,1.13311,2660,loss,-1.297,1380.0,0.0
ATTR_SHORT,2025-06-19 08:45:00+00:00,2025-06-19 09:30:00+00:00,loss,EURUSD,long,1.14763,1.14749,490,loss,-0.286,970.0,0.0
ATTR_LONG,2025-07-04 07:45:00+00:00,2025-07-07 04:30:00+00:00,win,EURUSD,short,1.17697,1.17663,1290,win,0.264,250.0,0.0
ATTR_LONG,2025-10-17 08:00:00+00:00,2025-10-17 11:00:00+00:00,win,EURUSD,short,1.17046,1.16879,1140,win,1.465,540.0,0.0
ATTR_SHORT,2025-10-21 10:45:00+00:00,2025-10-28 00:45:00+00:00,timeout,EURUSD,long,1.16178,1.16557,2840,win,1.335,1360.0,1260.0
ATTR_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,loss,EURUSD,short,1.16521,1.16593,680,loss,-1.059,860.0,0.0
ATTR_SHORT,2026-03-17 08:15:00+00:00,2026-03-17 08:30:00+00:00,loss,EURUSD,long,1.14994,1.15104,230,win,4.783,190.0,0.0
ATTR_SHORT,2026-03-20 07:30:00+00:00,2026-03-20 09:45:00+00:00,loss,EURUSD,long,1.15716,1.15487,1670,loss,-1.371,390.0,0.0
ATTR_LONG,2025-07-04 07:45:00+00:00,2025-07-07 04:30:00+00:00,win,AUDUSD,short,0.65546,0.65066,1290,win,3.721,250.0,0.0
ATTR_LONG,2025-10-17 08:00:00+00:00,2025-10-17 11:00:00+00:00,win,AUDUSD,short,0.64535,0.64968,1140,loss,-3.798,540.0,0.0
ATTR_SHORT,2025-10-21 10:45:00+00:00,2025-10-28 00:45:00+00:00,timeout,AUDUSD,long,0.64882,0.65578,2840,win,2.451,1360.0,1260.0
ATTR_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,loss,AUDUSD,short,0.65463,0.65568,680,loss,-1.544,860.0,0.0
ATTR_SHORT,2026-03-17 08:15:00+00:00,2026-03-17 08:30:00+00:00,loss,AUDUSD,long,0.70713,0.70774,230,win,2.652,190.0,0.0
ATTR_SHORT,2026-03-20 07:30:00+00:00,2026-03-20 09:45:00+00:00,loss,AUDUSD,long,0.7095,0.70647,1670,loss,-1.814,390.0,0.0
ATTR_LONG,2025-07-04 07:45:00+00:00,2025-07-07 04:30:00+00:00,win,NZDUSD,short,0.60605,0.60122,1290,win,3.744,250.0,0.0
ATTR_LONG,2025-10-17 08:00:00+00:00,2025-10-17 11:00:00+00:00,win,NZDUSD,short,0.57154,0.57399,1140,loss,-2.149,540.0,0.0
ATTR_SHORT,2025-10-21 10:45:00+00:00,2025-10-28 00:45:00+00:00,timeout,NZDUSD,long,0.57165,0.57762,2840,win,2.102,1360.0,1260.0
ATTR_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,loss,NZDUSD,short,0.57631,0.57735,680,loss,-1.529,860.0,0.0
ATTR_SHORT,2026-03-17 08:15:00+00:00,2026-03-17 08:30:00+00:00,loss,NZDUSD,long,0.58275,0.58335,230,win,2.609,190.0,0.0
ATTR_SHORT,2026-03-20 07:30:00+00:00,2026-03-20 09:45:00+00:00,loss,NZDUSD,long,0.58898,0.58633,1670,loss,-1.587,390.0,0.0
ATTR_SHORT,2023-10-23 10:30:00+00:00,2023-10-23 11:00:00+00:00,win,USDCAD,short,1.37326,1.37259,290,win,2.31,640.0,0.0
ATTR_LONG,2024-04-17 12:00:00+00:00,2024-04-17 17:30:00+00:00,loss,USDCAD,long,1.38112,1.3782,1740,loss,-1.678,1080.0,200.0
ATTR_SHORT,2024-05-07 08:45:00+00:00,2024-05-07 13:00:00+00:00,win,USDCAD,short,1.36784,1.36733,1350,win,0.378,290.0,490.0
ATTR_SHORT,2024-05-08 10:15:00+00:00,2024-05-08 12:00:00+00:00,loss,USDCAD,short,1.37474,1.37609,1120,loss,-1.205,1290.0,0.0
ATTR_SHORT,2024-07-23 08:15:00+00:00,2024-07-23 08:30:00+00:00,win,USDCAD,short,1.37675,1.37628,320,win,1.469,450.0,0.0
ATTR_LONG,2024-09-13 10:45:00+00:00,2024-09-16 03:45:00+00:00,loss,USDCAD,long,1.35816,1.35678,2100,loss,-0.657,1430.0,310.0
ATTR_SHORT,2024-10-16 11:30:00+00:00,2024-10-16 11:45:00+00:00,win,USDCAD,short,1.3784,1.37812,500,win,0.56,1110.0,0.0
ATTR_SHORT,2025-01-27 08:00:00+00:00,2025-01-27 08:15:00+00:00,win,USDCAD,short,1.43873,1.43904,360,loss,-0.861,1230.0,0.0
ATTR_LONG,2025-02-17 07:15:00+00:00,2025-02-17 07:45:00+00:00,win,USDCAD,long,1.41799,1.41836,680,win,0.544,660.0,0.0
ATTR_SHORT,2025-03-25 08:30:00+00:00,2025-03-25 09:15:00+00:00,win,USDCAD,short,1.432,1.43187,690,win,0.188,890.0,0.0
ATTR_SHORT,2025-06-19 08:45:00+00:00,2025-06-19 09:30:00+00:00,loss,USDCAD,short,1.37076,1.37118,490,loss,-0.857,970.0,0.0
ATTR_LONG,2025-07-04 07:45:00+00:00,2025-07-07 04:30:00+00:00,win,USDCAD,long,1.35932,1.3633,1290,win,3.085,250.0,0.0
ATTR_LONG,2025-10-17 08:00:00+00:00,2025-10-17 11:00:00+00:00,win,USDCAD,long,1.40565,1.40284,1140,loss,-2.465,540.0,0.0
ATTR_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,loss,USDCAD,long,1.40038,1.39979,680,loss,-0.868,860.0,0.0
ATTR_SHORT,2026-03-17 08:15:00+00:00,2026-03-17 08:30:00+00:00,loss,USDCAD,short,1.36888,1.36881,230,win,0.304,190.0,0.0
ATTR_SHORT,2026-03-20 07:30:00+00:00,2026-03-20 09:45:00+00:00,loss,USDCAD,short,1.37238,1.37194,1670,win,0.263,390.0,0.0
ATTR_SHORT,2023-10-23 10:30:00+00:00,2023-10-23 11:00:00+00:00,win,USDJPY,short,149.969,149.946,290,win,0.793,640.0,0.0
ATTR_LONG,2024-04-17 12:00:00+00:00,2024-04-17 17:30:00+00:00,loss,USDJPY,long,154.661,154.335,1740,loss,-1.874,1080.0,200.0
ATTR_SHORT,2024-05-07 08:45:00+00:00,2024-05-07 13:00:00+00:00,win,USDJPY,short,154.4,154.298,1350,win,0.756,290.0,490.0
ATTR_SHORT,2024-05-08 10:15:00+00:00,2024-05-08 12:00:00+00:00,loss,USDJPY,short,155.362,155.572,1120,loss,-1.875,1290.0,0.0
ATTR_LONG,2024-05-21 12:00:00+00:00,2024-05-21 12:30:00+00:00,win,USDJPY,long,156.371,156.28,580,loss,-1.569,660.0,0.0
ATTR_SHORT,2024-07-23 08:15:00+00:00,2024-07-23 08:30:00+00:00,win,USDJPY,short,155.949,155.929,320,win,0.625,450.0,0.0
ATTR_LONG,2024-09-13 10:45:00+00:00,2024-09-16 03:45:00+00:00,loss,USDJPY,long,140.696,140.118,2100,loss,-2.752,1430.0,310.0
ATTR_SHORT,2024-10-16 11:30:00+00:00,2024-10-16 11:45:00+00:00,win,USDJPY,short,149.312,149.166,500,win,2.92,1110.0,0.0
ATTR_SHORT,2024-10-25 10:00:00+00:00,2024-10-25 10:15:00+00:00,loss,USDJPY,short,151.956,151.972,160,loss,-1.0,110.0,0.0
ATTR_SHORT,2025-01-27 08:00:00+00:00,2025-01-27 08:15:00+00:00,win,USDJPY,short,155.481,155.415,360,win,1.833,1230.0,0.0
ATTR_LONG,2025-02-17 07:15:00+00:00,2025-02-17 07:45:00+00:00,win,USDJPY,long,151.646,151.862,680,win,3.176,660.0,0.0
ATTR_SHORT,2025-03-25 08:30:00+00:00,2025-03-25 09:15:00+00:00,win,USDJPY,short,150.619,150.609,690,win,0.145,890.0,0.0
ATTR_SHORT,2025-04-25 07:30:00+00:00,2025-04-28 06:45:00+00:00,loss,USDJPY,short,143.367,143.828,2660,loss,-1.733,1380.0,0.0
ATTR_SHORT,2025-06-19 08:45:00+00:00,2025-06-19 09:30:00+00:00,loss,USDJPY,short,145.282,145.364,490,loss,-1.673,970.0,0.0
ATTR_LONG,2025-07-04 07:45:00+00:00,2025-07-07 04:30:00+00:00,win,USDJPY,long,144.404,144.945,1290,win,4.194,250.0,0.0
ATTR_LONG,2025-10-17 08:00:00+00:00,2025-10-17 11:00:00+00:00,win,USDJPY,long,149.704,150.246,1140,win,4.754,540.0,0.0
ATTR_SHORT,2025-10-21 10:45:00+00:00,2025-10-28 00:45:00+00:00,timeout,USDJPY,short,151.926,152.494,2840,loss,-2.0,1360.0,1260.0
ATTR_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,loss,USDJPY,long,151.951,151.894,680,loss,-0.838,860.0,0.0
ATTR_SHORT,2026-03-17 08:15:00+00:00,2026-03-17 08:30:00+00:00,loss,USDJPY,short,159.132,159.089,230,win,1.87,190.0,0.0
ATTR_SHORT,2026-03-20 07:30:00+00:00,2026-03-20 09:45:00+00:00,loss,USDJPY,short,158.352,158.832,1670,loss,-2.874,390.0,0.0
ATTR_LONG,2025-07-04 07:45:00+00:00,2025-07-07 04:30:00+00:00,win,XAUUSD,short,3342.81,3305.36,1290,win,2.903,250.0,0.0
ATTR_LONG,2025-10-17 08:00:00+00:00,2025-10-17 11:00:00+00:00,win,XAUUSD,short,4333.92,4319.24,1140,win,1.288,540.0,0.0
ATTR_SHORT,2025-10-21 10:45:00+00:00,2025-10-28 00:45:00+00:00,timeout,XAUUSD,long,4253.64,4006.49,2840,loss,-8.702,1360.0,1260.0
ATTR_LONG,2025-10-28 08:45:00+00:00,2025-10-28 10:15:00+00:00,loss,XAUUSD,short,3896.82,3904.81,680,loss,-1.175,860.0,0.0
ATTR_SHORT,2026-03-17 08:15:00+00:00,2026-03-17 08:30:00+00:00,loss,XAUUSD,long,5021.2,5022.04,230,win,0.365,190.0,0.0
ATTR_SHORT,2026-03-20 07:30:00+00:00,2026-03-20 09:45:00+00:00,loss,XAUUSD,long,4694.18,4667.57,1670,loss,-1.593,390.0,0.0
