gap,prev_range,buffer,near_tp,n_sigs,wr,pf,dxy_net_r,total_pair_r,net_eurusd,net_usdjpy,net_usdcad,net_xauusd
100,5000,0,False,36,39.4,1.2,18.56,18.57,-17.94,27.75,5.5,3.26
100,6000,0,False,39,42.9,1.3,28.56,28.56,-18.09,32.07,9.46,5.12
100,7000,0,False,42,43.8,1.794,76.26,76.26,2.84,48.62,19.68,5.12
100,8000,0,False,44,43.4,1.724,74.64,74.64,4.76,46.04,17.74,6.1
100,10000,0,False,44,43.4,1.724,74.64,74.64,4.76,46.04,17.74,6.1
125,5000,0,False,29,39.1,1.358,25.93,25.93,-14.26,29.29,1.49,9.41
125,6000,0,False,31,43.6,1.519,37.57,37.57,-13.0,32.98,6.33,11.26
125,7000,0,False,34,44.7,2.162,85.27,85.27,7.93,49.52,16.56,11.26
125,8000,0,False,34,44.7,2.162,85.27,85.27,7.93,49.52,16.56,11.26
125,10000,0,False,34,44.7,2.162,85.27,85.27,7.93,49.52,16.56,11.26
150,5000,0,False,28,36.9,0.872,-9.27,-9.27,-17.06,4.69,-6.31,9.41
150,6000,0,False,30,41.8,1.033,2.37,2.37,-15.8,8.38,-1.47,11.26
150,7000,0,False,33,43.0,1.682,50.07,50.07,5.13,24.92,8.76,11.26
150,8000,0,False,33,43.0,1.682,50.07,50.07,5.13,24.92,8.76,11.26
150,10000,0,False,33,43.0,1.682,50.07,50.07,5.13,24.92,8.76,11.26
175,5000,0,False,26,36.4,0.878,-8.06,-8.05,-16.78,3.03,-5.55,11.25
175,6000,0,False,28,41.7,1.054,3.59,3.58,-15.53,6.71,-0.7,13.1
175,7000,0,False,31,43.0,1.763,51.29,51.29,5.4,23.26,9.53,13.1
175,8000,0,False,31,43.0,1.763,51.29,51.29,5.4,23.26,9.53,13.1
175,10000,0,False,31,43.0,1.763,51.29,51.29,5.4,23.26,9.53,13.1
200,5000,0,False,25,38.4,0.919,-5.13,-5.13,-15.09,3.72,-5.04,11.28
200,6000,0,False,27,43.8,1.103,6.52,6.52,-13.83,7.41,-0.2,13.14
200,7000,0,False,30,44.9,1.844,54.22,54.23,7.1,23.96,10.03,13.14
200,8000,0,False,30,44.9,1.844,54.22,54.23,7.1,23.96,10.03,13.14
200,10000,0,False,30,44.9,1.844,54.22,54.23,7.1,23.96,10.03,13.14
100,5000,25,True,36,37.6,1.557,55.73,55.74,-15.73,54.66,15.39,1.42
100,5000,50,True,36,35.8,1.5,55.02,55.03,-22.86,51.22,25.06,1.61
100,5000,75,True,35,36.8,0.523,-60.72,-60.73,-27.91,-25.59,-9.82,2.59
100,5000,100,True,35,37.7,0.377,-133.72,-133.72,-59.52,-77.29,-8.98,12.07
100,6000,25,True,39,41.2,1.645,66.0,66.01,-15.84,59.07,19.48,3.3
100,6000,50,True,39,39.7,1.584,65.59,65.59,-22.93,55.72,29.28,3.52
100,6000,75,True,38,40.5,0.616,-49.84,-49.84,-27.94,-20.99,-5.44,4.53
100,6000,100,True,38,41.4,0.436,-122.5,-122.51,-59.5,-72.6,-4.44,14.03
100,7000,25,True,42,42.2,2.178,121.77,121.76,8.6,78.37,31.49,3.3
100,7000,50,True,42,40.8,2.171,132.78,132.78,6.5,78.93,43.83,3.52
100,7000,75,True,41,41.6,1.266,34.8,34.8,9.11,8.18,12.98,4.53
100,7000,100,True,41,42.4,0.964,-7.92,-7.91,-9.37,-33.2,20.63,14.03
100,8000,25,True,44,41.9,2.09,120.5,120.51,10.8,75.76,29.46,4.49
100,8000,50,True,44,42.1,2.17,136.54,136.54,9.21,77.41,43.31,6.61
100,8000,75,True,43,42.9,1.292,39.27,39.27,12.26,6.65,12.37,7.99
100,8000,100,True,43,42.1,0.983,-3.88,-3.88,-6.16,-34.19,18.93,17.54
100,10000,25,True,44,41.9,2.09,120.5,120.51,10.8,75.76,29.46,4.49
100,10000,50,True,44,42.1,2.17,136.54,136.54,9.21,77.41,43.31,6.61
100,10000,75,True,43,42.9,1.292,39.27,39.27,12.26,6.65,12.37,7.99
100,10000,100,True,43,42.1,0.983,-3.88,-3.88,-6.16,-34.19,18.93,17.54
125,5000,25,True,29,37.9,1.854,67.18,67.18,-13.21,59.61,13.08,7.7
125,5000,50,True,29,35.7,1.757,66.64,66.64,-20.3,56.24,22.65,8.05
125,5000,75,True,28,34.5,0.501,-53.32,-53.32,-27.49,-21.36,-13.66,9.19
125,5000,100,True,28,35.7,0.346,-126.54,-126.54,-59.26,-73.01,-13.1,18.83
125,6000,25,True,31,42.6,2.005,79.1,79.1,-11.92,63.38,18.05,9.59
125,6000,50,True,31,40.7,1.896,78.87,78.87,-18.96,60.1,27.77,9.96
125,6000,75,True,30,39.6,0.618,-40.78,-40.78,-26.11,-17.42,-8.38,11.13
125,6000,100,True,30,40.7,0.413,-113.64,-113.64,-57.81,-68.96,-7.66,20.79
125,7000,25,True,34,43.7,2.691,134.87,134.87,12.53,82.68,30.07,9.59
125,7000,50,True,34,42.0,2.638,146.06,146.07,10.47,83.31,42.33,9.96
125,7000,75,True,33,41.0,1.406,43.86,43.87,10.94,11.76,10.04,11.13
125,7000,100,True,33,42.0,1.005,0.94,0.94,-7.69,-29.57,17.41,20.79
125,8000,25,True,34,43.7,2.691,134.87,134.87,12.53,82.68,30.07,9.59
125,8000,50,True,34,42.0,2.638,146.06,146.07,10.47,83.31,42.33,9.96
125,8000,75,True,33,41.0,1.406,43.86,43.87,10.94,11.76,10.04,11.13
125,8000,100,True,33,42.0,1.005,0.94,0.94,-7.69,-29.57,17.41,20.79
125,10000,25,True,34,43.7,2.691,134.87,134.87,12.53,82.68,30.07,9.59
125,10000,50,True,34,42.0,2.638,146.06,146.07,10.47,83.31,42.33,9.96
125,10000,75,True,33,41.0,1.406,43.86,43.87,10.94,11.76,10.04,11.13
125,10000,100,True,33,42.0,1.005,0.94,0.94,-7.69,-29.57,17.41,20.79
150,5000,25,True,28,35.7,0.959,-3.22,-3.23,-18.81,10.41,-2.53,7.7
150,5000,50,True,28,35.7,1.757,66.64,66.64,-20.3,56.24,22.65,8.05
150,5000,75,True,28,34.5,0.501,-53.32,-53.32,-27.49,-21.36,-13.66,9.19
150,5000,100,True,28,35.7,0.346,-126.54,-126.54,-59.26,-73.01,-13.1,18.83
150,6000,25,True,30,40.7,1.111,8.7,8.7,-17.52,14.18,2.45,9.59
150,6000,50,True,30,40.7,1.896,78.87,78.87,-18.96,60.1,27.77,9.96
150,6000,75,True,30,39.6,0.618,-40.78,-40.78,-26.11,-17.42,-8.38,11.13
150,6000,100,True,30,40.7,0.413,-113.64,-113.64,-57.81,-68.96,-7.66,20.79
150,7000,25,True,33,42.0,1.808,64.46,64.47,6.93,33.48,14.47,9.59
150,7000,50,True,33,42.0,2.638,146.06,146.07,10.47,83.31,42.33,9.96
150,7000,75,True,33,41.0,1.406,43.86,43.87,10.94,11.76,10.04,11.13
150,7000,100,True,33,42.0,1.005,0.94,0.94,-7.69,-29.57,17.41,20.79
150,8000,25,True,33,42.0,1.808,64.46,64.47,6.93,33.48,14.47,9.59
150,8000,50,True,33,42.0,2.638,146.06,146.07,10.47,83.31,42.33,9.96
150,8000,75,True,33,41.0,1.406,43.86,43.87,10.94,11.76,10.04,11.13
150,8000,100,True,33,42.0,1.005,0.94,0.94,-7.69,-29.57,17.41,20.79
150,10000,25,True,33,42.0,1.808,64.46,64.47,6.93,33.48,14.47,9.59
150,10000,50,True,33,42.0,2.638,146.06,146.07,10.47,83.31,42.33,9.96
150,10000,75,True,33,41.0,1.406,43.86,43.87,10.94,11.76,10.04,11.13
150,10000,100,True,33,42.0,1.005,0.94,0.94,-7.69,-29.57,17.41,20.79
175,5000,25,True,26,35.1,0.973,-1.96,-1.96,-18.53,8.71,-1.73,9.59
175,5000,50,True,26,35.1,1.834,67.95,67.96,-20.01,54.5,23.47,10.0
175,5000,75,True,26,33.8,0.481,-51.97,-51.97,-27.19,-23.15,-12.82,11.19
175,5000,100,True,26,35.1,0.326,-127.09,-127.1,-59.8,-74.7,-13.61,21.01
175,6000,25,True,28,40.5,1.138,9.96,9.96,-17.24,12.48,3.24,11.48
175,6000,50,True,28,40.5,1.984,80.18,80.17,-18.67,58.35,28.59,11.9
175,6000,75,True,28,39.3,0.606,-39.42,-39.43,-25.81,-19.21,-7.54,13.13
175,6000,100,True,28,40.5,0.395,-114.2,-114.21,-58.35,-70.66,-8.17,22.97
175,7000,25,True,31,41.9,1.895,65.73,65.73,7.21,31.78,15.26,11.48
175,7000,50,True,31,41.9,2.783,147.37,147.36,10.76,81.56,43.14,11.9
175,7000,75,True,31,40.9,1.446,45.22,45.22,11.24,9.97,10.88,13.13
175,7000,100,True,31,41.9,1.002,0.38,0.38,-8.23,-31.26,16.9,22.97
175,8000,25,True,31,41.9,1.895,65.73,65.73,7.21,31.78,15.26,11.48
175,8000,50,True,31,41.9,2.783,147.37,147.36,10.76,81.56,43.14,11.9
175,8000,75,True,31,40.9,1.446,45.22,45.22,11.24,9.97,10.88,13.13
175,8000,100,True,31,41.9,1.002,0.38,0.38,-8.23,-31.26,16.9,22.97
175,10000,25,True,31,41.9,1.895,65.73,65.73,7.21,31.78,15.26,11.48
175,10000,50,True,31,41.9,2.783,147.37,147.36,10.76,81.56,43.14,11.9
175,10000,75,True,31,40.9,1.446,45.22,45.22,11.24,9.97,10.88,13.13
175,10000,100,True,31,41.9,1.002,0.38,0.38,-8.23,-31.26,16.9,22.97
200,5000,25,True,25,37.0,1.014,0.99,0.99,-16.82,9.41,-1.23,9.63
200,5000,50,True,25,37.0,1.903,70.93,70.93,-18.28,55.2,23.98,10.03
200,5000,75,True,25,35.6,0.496,-48.96,-48.96,-25.45,-22.44,-12.3,11.23
200,5000,100,True,25,37.0,0.332,-124.06,-124.06,-58.04,-73.98,-13.09,21.05
200,6000,25,True,27,42.5,1.186,12.92,12.92,-15.52,13.18,3.75,11.51
200,6000,50,True,27,42.5,2.059,83.15,83.16,-16.94,59.06,29.1,11.94
200,6000,75,True,27,41.2,0.625,-36.42,-36.41,-24.06,-18.49,-7.03,13.17
200,6000,100,True,27,42.5,0.401,-111.17,-111.18,-56.6,-69.94,-7.65,23.01
200,7000,25,True,30,43.8,1.975,68.68,68.67,8.92,32.48,15.76,11.51
200,7000,50,True,30,43.8,2.887,150.35,150.35,12.49,82.27,43.65,11.94
200,7000,75,True,30,42.7,1.49,48.23,48.24,12.99,10.68,11.4,13.17
200,7000,100,True,30,43.8,1.018,3.42,3.42,-6.47,-30.54,17.42,23.01
200,8000,25,True,30,43.8,1.975,68.68,68.67,8.92,32.48,15.76,11.51
200,8000,50,True,30,43.8,2.887,150.35,150.35,12.49,82.27,43.65,11.94
200,8000,75,True,30,42.7,1.49,48.23,48.24,12.99,10.68,11.4,13.17
200,8000,100,True,30,43.8,1.018,3.42,3.42,-6.47,-30.54,17.42,23.01
200,10000,25,True,30,43.8,1.975,68.68,68.67,8.92,32.48,15.76,11.51
200,10000,50,True,30,43.8,2.887,150.35,150.35,12.49,82.27,43.65,11.94
200,10000,75,True,30,42.7,1.49,48.23,48.24,12.99,10.68,11.4,13.17
200,10000,100,True,30,43.8,1.018,3.42,3.42,-6.47,-30.54,17.42,23.01
